ANO_MES;VALOR
1975.02;2,74E-12
1975.03;2,77E-12
1975.04;2,82E-12
1975.05;2,87E-12
1975.06;2,89E-12
1975.07;2,93E-12
1975.08;3,00E-12
1975.09;3,04E-12
1975.10;3,09E-12
1975.11;3,17E-12
1975.12;3,25E-12
1976.01;3,31E-12
1976.02;3,37E-12
1976.03;3,47E-12
1976.04;3,67E-12
1976.05;3,77E-12
1976.06;3,86E-12
1976.07;3,92E-12
1976.08;3,99E-12
1976.09;4,09E-12
1976.10;4,17E-12
1976.11;4,29E-12
1976.12;4,40E-12
1977.01;4,51E-12
1977.02;4,59E-12
1977.03;4,70E-12
1977.04;4,83E-12
1977.05;4,96E-12
1977.06;5,08E-12
1977.07;5,22E-12
1977.08;5,32E-12
1977.09;5,40E-12
1977.10;5,47E-12
1977.11;5,57E-12
1977.12;5,73E-12
1978.01;5,82E-12
1978.02;5,91E-12
1978.03;6,03E-12
1978.04;6,15E-12
1978.05;6,30E-12
1978.06;6,44E-12
1978.07;6,55E-12
1978.08;6,73E-12
1978.09;6,89E-12
1978.10;7,00E-12
1978.11;7,17E-12
1978.12;7,42E-12
1979.01;7,67E-12
1979.02;7,93E-12
1979.03;8,19E-12
1979.04;8,46E-12
1979.05;8,89E-12
1979.06;9,28E-12
1979.07;9,45E-12
1979.08;9,76E-12
1979.09;1,04E-11
1979.10;1,09E-11
1979.11;1,14E-11
1979.12;1,46E-11
1980.01;1,58E-11
1980.02;1,62E-11
1980.03;1,68E-11
1980.04;1,75E-11
1980.05;1,80E-11
1980.06;1,86E-11
1980.07;1,91E-11
1980.08;1,98E-11
1980.09;2,05E-11
1980.10;2,13E-11
1980.11;2,22E-11
1980.12;2,31E-11
1981.01;2,44E-11
1981.02;2,55E-11
1981.03;2,69E-11
1981.04;2,86E-11
1981.05;3,04E-11
1981.06;3,21E-11
1981.07;3,40E-11
1981.08;3,62E-11
1981.09;3,81E-11
1981.10;4,03E-11
1981.11;4,27E-11
1981.12;4,52E-11
1982.01;4,75E-11
1982.02;4,97E-11
1982.03;5,24E-11
1982.04;5,51E-11
1982.05;5,79E-11
1982.06;6,09E-11
1982.07;6,43E-11
1982.08;6,84E-11
1982.09;7,31E-11
1982.10;7,80E-11
1982.11;8,32E-11
1982.12;8,88E-11
1983.01;9,52E-11
1983.02;1,14E-10
1983.03;1,45E-10
1983.04;1,57E-10
1983.05;1,72E-10
1983.06;1,87E-10
1983.07;2,06E-10
1983.08;2,33E-10
1983.09;2,54E-10
1983.10;2,84E-10
1983.11;3,15E-10
1983.12;3,42E-10
1984.01;3,69E-10
1984.02;4,09E-10
1984.03;4,60E-10
1984.04;5,02E-10
1984.05;5,47E-10
1984.06;5,95E-10
1984.07;6,57E-10
1984.08;7,22E-10
1984.09;7,97E-10
1984.10;8,88E-10
1984.11;9,89E-10
1984.12;1,09E-09
1985.01;1,22E-09
1985.02;1,36E-09
1985.03;1,51E-09
1985.04;1,71E-09
1985.05;1,90E-09
1985.06;2,08E-09
1985.07;2,25E-09
1985.08;2,43E-09
1985.09;2,70E-09
1985.10;2,96E-09
1985.11;3,23E-09
1985.12;3,59E-09
1986.01;4,09E-09
1986.02;4,71E-09
1986.03;5,01E-09
1986.04;5,01E-09
1986.05;5,01E-09
1986.06;5,01E-09
1986.07;5,01E-09
1986.08;5,01E-09
1986.09;5,01E-09
1986.10;5,05E-09
1986.11;5,11E-09
1986.12;5,26E-09
1987.01;5,68E-09
1987.02;6,56E-09
1987.03;7,60E-09
1987.04;8,58E-09
1987.05;1,11E-08
1987.06;1,43E-08
1987.07;1,63E-08
1987.08;1,71E-08
1987.09;1,80E-08
1987.10;1,93E-08
1987.11;2,15E-08
1987.12;2,44E-08
1988.01;2,81E-08
1988.02;3,29E-08
1988.03;3,88E-08
1988.04;4,55E-08
1988.05;5,45E-08
1988.06;6,45E-08
1988.07;7,81E-08
1988.08;9,68E-08
1988.09;1,18E-07
1988.10;1,49E-07
1988.11;1,90E-07
1988.12;2,43E-07
1989.01;3,27E-07
1989.02;3,60E-07
1989.03;3,60E-07
1989.04;3,67E-07
1989.05;3,96E-07
1989.06;4,84E-07
1989.07;6,95E-07
1989.08;8,95E-07
1989.09;1,18E-06
1989.10;1,63E-06
1989.11;2,26E-06
1989.12;3,35E-06
1990.01;5,18E-06
1990.02;8,56E-06
1990.03;1,35E-05
1990.04;1,72E-05
1990.05;1,89E-05
1990.06;2,07E-05
1990.07;2,41E-05
1990.08;2,60E-05
1990.09;2,73E-05
1990.10;3,44E-05
1990.11;4,45E-05
1990.12;0,0001
1991.01;0,0001
1991.02;0,0001
1991.03;0,0001
1991.04;0,0001
1991.05;0,0001
1991.06;0,0001
1991.07;0,0001
1991.08;0,0001
1991.09;0,0002
1991.10;0,0002
1991.11;0,0003
1991.12;0,0003
1992.01;0,0004
1992.02;0,0005
1992.03;0,0007
1992.04;0,0008
1992.05;0,001
1992.06;0,0011
1992.07;0,0014
1992.08;0,0017
1992.09;0,0021
1992.10;0,0026
1992.11;0,0033
1992.12;0,0041
1993.01;0,0051
1993.02;0,0065
1993.03;0,0082
1993.04;0,0104
1993.05;0,0135
1993.06;0,0175
1993.07;0,0228
1993.08;0,0301
1993.09;0,0404
1993.10;0,055
1993.11;0,0748
1993.12;0,1016
1994.01;0,1421
1994.02;0,2003
1994.03;0,2793
1994.04;0,4035
1994.05;0,5765
1994.06;0,8326
1994.07;0,9248
1994.08;0,8966
1994.09;0,8632
1994.10;0,844
1994.11;0,8398
1994.12;0,8481
1995.01;0,8451
1995.02;0,8388
1995.03;0,8874
1995.04;0,9055
1995.05;0,8954
1995.06;0,912
1995.07;0,9268
1995.08;0,94
1995.09;0,9508
1995.10;0,9587
1995.11;0,9624
1995.12;0,9673
1996.01;0,9735
1996.02;0,9801
1996.03;0,9853
1996.04;0,9894
1996.05;0,9945
1996.06;1,0005
1996.07;1,0061
1996.08;1,0126
1996.09;1,0185
1996.10;1,0243
1996.11;1,0296
1996.12;1,0365
1997.01;1,0421
1997.02;1,0485
1997.03;1,0559
1997.04;1,0601
1997.05;1,0675
1997.06;1,0738
1997.07;1,0799
1997.08;1,0871
1997.09;1,0928
1997.10;1,0993
1997.11;1,1065
1997.12;1,1128
1998.01;1,1191
1998.02;1,1329
1998.03;1,1329
1998.04;1,1404
1998.05;1,1473
1998.06;1,1538
1998.07;1,1607
1998.08;1,1709
1998.09;1,1801
1998.10;1,1876
1998.11;1,1929
1998.12;1,2046
1999.01;1,5011
1999.02;1,9129
1999.03;1,896
1999.04;1,6933
1999.05;1,6827
1999.06;1,7646
1999.07;1,7995
1999.08;1,88
1999.09;1,8973
1999.10;1,9687
1999.11;1,9291
1999.12;1,842
2000.01;1,8029
2000.02;1,7745
2000.03;1,7412
2000.04;1,7674
2000.05;1,8271
2000.06;1,8075
2000.07;1,797
2000.08;1,8084
2000.09;1,8384
2000.10;1,8788
2000.11;1,9472
2000.12;1,9625
2001.01;1,9537
2001.02;2,0011
2001.03;2,0882
2001.04;2,1917
2001.05;2,2964
2001.06;2,375
2001.07;2,4652
2001.08;2,5098
2001.09;2,6709
2001.10;2,7394
2001.11;2,5423
2001.12;2,3619
2002.01;2,3771
2002.02;2,4188
2002.03;2,3458
2002.04;2,3196
2002.05;2,4796
2002.06;2,7132
2002.07;2,9338
2002.08;3,1093
2002.09;3,3412
2002.10;3,8051
2002.11;3,5756
2002.12;3,6251
2003.01;3,4376
2003.02;3,59
2003.03;3,4461
2003.04;3,1179
2003.05;2,9549
2003.06;2,8824
2003.07;2,879
2003.08;3,0017
2003.09;2,922
2003.10;2,8607
2003.11;2,913
2003.12;2,9245
2004.01;2,851
2004.02;2,9295
2004.03;2,9047
2004.04;2,9052
2004.05;3,0996
2004.06;3,1283
2004.07;3,036
2004.08;3,0021
2004.09;2,8903
2004.10;2,8521
2004.11;2,7852
2004.12;2,7174
2005.01;2,6922
2005.02;2,597
2005.03;2,7039
2005.04;2,5784
2005.05;2,452
2005.06;2,4127
2005.07;2,3727
2005.08;2,3598
2005.09;2,2936
2005.10;2,2557
2005.11;2,21
2005.12;2,2847
2006.01;2,2731
2006.02;2,1611
2006.03;2,1512
2006.04;2,1285
2006.05;2,1773
2006.06;2,2475
2006.07;2,1885
2006.08;2,1551
2006.09;2,1679
2006.10;2,1475
2006.11;2,1571
2006.12;2,1491
2007.01;2,1377
2007.02;2,0955
2007.03;2,0879
2007.04;2,0312
2007.05;1,9808
2007.06;1,9311
2007.07;1,882
2007.08;1,9652
2007.09;1,8988
2007.10;1,8002
2007.11;1,7691
2007.12;1,7852
2008.01;1,7735
2008.02;1,7269
2008.03;1,7068
2008.04;1,6881
2008.05;1,6597
2008.06;1,6181
2008.07;1,5906
2008.08;1,6115
2008.09;1,7988
2008.10;2,1721
2008.11;2,2655
2008.12;2,3936
2009.01;2,3066
2009.02;2,3119
2009.03;2,313
2009.04;2,2051
2009.05;2,0601
2009.06;1,9568
2009.07;1,932
2009.08;1,8444
2009.09;1,819
2009.10;1,7376
2009.11;1,7252
2009.12;1,7495
2010.01;1,779
2010.02;1,8394
2010.03;1,785
2010.04;1,7558
2010.05;1,8124
2010.06;1,8054
2010.07;1,7688
2010.08;1,7588
2010.09;1,7179
2010.10;1,6852
2010.11;1,7125
2010.12;1,6927
2011.01;1,6741
2011.02;1,6672
2011.03;1,6583
2011.04;1,5856
2011.05;1,6127
2011.06;1,5862
2011.07;1,5631
2011.08;1,5962
2011.09;1,749
2011.10;1,7719
2011.11;1,7897
2011.12;1,8362
2012.01;1,789
2012.02;1,7178
2012.03;1,7947
2012.04;1,8542
2012.05;1,9854
2012.06;2,0486
2012.07;2,0282
2012.08;2,0289
2012.09;2,0275
2012.10;2,0293
2012.11;2,0672
2012.12;2,0772
2013.01;2,0305
2013.02;1,9727
2013.03;1,9823
2013.04;2,0016
2013.05;2,0343
2013.06;2,1724
2013.07;2,2516
2013.08;2,3416
2013.09;2,2699
2013.10;2,1881
2013.11;2,2947
2013.12;2,3449
2014.01;2,3816
2014.02;2,3831
2014.03;2,3255
2014.04;2,2317
2014.05;2,2203
2014.06;2,2349
2014.07;2,224
2014.08;2,2674
2014.09;2,3323
2014.10;2,4476
2014.11;2,5482
2014.12;2,6387
2015.01;2,6336
2015.02;2,8158
2015.03;3,1389
2015.04;3,0426
2015.05;3,0611
2015.06;3,1111
2015.07;3,2225
2015.08;3,5137
2015.09;3,9058
2015.10;3,8795
2015.11;3,7758
2015.12;3,8705
2016.01;4,0517
2016.02;3,9731
2016.03;3,7033
2016.04;3,5652
2016.05;3,5387
2016.06;3,4239
2016.07;3,2747
2016.08;3,2091
2016.09;3,2558
2016.10;3,1852
2016.11;3,3414
2016.12;3,3517
2017.01;3,196
2017.02;3,1036
2017.03;3,1273
2017.04;3,1356
2017.05;3,2087
2017.06;3,2948
2017.07;3,2055
2017.08;3,1503
2017.09;3,1342
2017.10;3,1906
2017.11;3,2587
2017.12;3,2913
2018.01;3,21
2018.02;3,2409
2018.03;3,2786
2018.04;3,4069
2018.05;3,6355
2018.06;3,7726
2018.07;3,8281
2018.08;3,9292
2018.09;4,1159
2018.10;3,7578
2018.11;3,786
2018.12;3,8821
2019.01;3,7411
2019.02;3,723
2019.03;3,8459
2019.04;3,8956
2019.05;4,0009
2019.06;3,8582
2019.07;3,7787
2019.08;4,0194
2019.09;4,1209
2019.10;4,0864
2019.11;4,1547
2019.12;4,1089
2020.01;4,1489
2020.02;4,3404
2020.03;4,8832
2020.04;5,325
2020.05;5,6429
2020.06;5,196
2020.07;5,2796
2020.08;5,4606
2020.09;5,3989
2020.10;5,6252
2020.11;5,4172
2020.12;5,1449
2021.01;5,3556
2021.02;5,4159
